epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1988.97,0.70638,7.59431,0.00733,0.6135,0.64533,0.71738,0.60759,0.67648,6.9156,0.01524,0.000332151,0.000332151,0.000332151
2,3988.92,0.54964,4.21648,0.00528,0.86737,0.7571,0.86763,0.7497,0.65903,4.10944,0.0137,0.000658896,0.000658896,0.000658896
3,6023.14,0.55153,2.48485,0.00566,0.85105,0.83588,0.91275,0.80322,0.58577,2.27842,0.01074,0.000979041,0.000979041,0.000979041
4,8059.89,0.51,1.52929,0.00492,0.8632,0.88219,0.92966,0.82658,0.50529,1.53607,0.00912,0.0009703,0.0009703,0.0009703
5,10048.3,0.4901,1.04645,0.00453,0.90647,0.8907,0.95361,0.87733,0.50004,1.04869,0.00919,0.0009604,0.0009604,0.0009604
6,12024.9,0.46383,0.8028,0.00424,0.95131,0.91537,0.965,0.85879,0.57786,0.78192,0.01121,0.0009505,0.0009505,0.0009505
7,13991.9,0.44688,0.66175,0.00417,0.92177,0.89624,0.95658,0.87776,0.47768,0.72417,0.00783,0.0009406,0.0009406,0.0009406
8,16046.3,0.43234,0.55642,0.00387,0.93482,0.95074,0.97316,0.86767,0.51279,0.56697,0.0083,0.0009307,0.0009307,0.0009307
9,18038.4,0.42815,0.50039,0.00398,0.97058,0.92404,0.97459,0.89852,0.42727,0.47528,0.00682,0.0009208,0.0009208,0.0009208
10,20046.3,0.428,0.45125,0.00397,0.95914,0.92358,0.96818,0.88611,0.47673,0.58034,0.00864,0.0009109,0.0009109,0.0009109
11,22062.8,0.43794,0.4175,0.00407,0.94592,0.95909,0.97788,0.86591,0.52348,0.44161,0.00872,0.000901,0.000901,0.000901
12,24070.8,0.39679,0.37468,0.00345,0.96992,0.92586,0.9715,0.88353,0.47059,0.42394,0.00795,0.0008911,0.0008911,0.0008911
13,26055.8,0.39644,0.388,0.00359,0.96849,0.92927,0.96788,0.8667,0.52415,0.45407,0.00899,0.0008812,0.0008812,0.0008812
14,28118.5,0.40455,0.36098,0.00364,0.97076,0.94111,0.97887,0.89091,0.4423,0.39372,0.0069,0.0008713,0.0008713,0.0008713
15,30224,0.4076,0.3629,0.00351,0.95331,0.94985,0.9727,0.89642,0.48195,0.372,0.00849,0.0008614,0.0008614,0.0008614
16,32299.8,0.38446,0.3493,0.00339,0.94095,0.90286,0.96022,0.8721,0.44332,0.41595,0.00614,0.0008515,0.0008515,0.0008515
17,34372.8,0.37134,0.30735,0.00316,0.97147,0.94324,0.9714,0.89748,0.4054,0.35024,0.00614,0.0008416,0.0008416,0.0008416
18,36468.3,0.38328,0.30265,0.00341,0.95738,0.9677,0.97113,0.90559,0.43822,0.36252,0.00752,0.0008317,0.0008317,0.0008317
19,38515.9,0.38766,0.29159,0.00328,0.95483,0.9568,0.97906,0.9095,0.42775,0.3582,0.00718,0.0008218,0.0008218,0.0008218
20,40583.8,0.36914,0.28766,0.00302,0.95658,0.94696,0.96994,0.896,0.42819,0.38405,0.00753,0.0008119,0.0008119,0.0008119
21,42713.9,0.35888,0.26875,0.00303,0.97169,0.9569,0.97625,0.89047,0.48419,0.35779,0.00828,0.000802,0.000802,0.000802
22,44778.1,0.35597,0.25781,0.00296,0.97407,0.96624,0.97661,0.90569,0.41245,0.30345,0.00687,0.0007921,0.0007921,0.0007921
23,46900.5,0.34917,0.2445,0.00279,0.96411,0.95531,0.97371,0.8979,0.4381,0.38956,0.0074,0.0007822,0.0007822,0.0007822
24,48987.8,0.36026,0.2773,0.00299,0.9847,0.95206,0.97251,0.89421,0.43323,0.37011,0.00766,0.0007723,0.0007723,0.0007723
