epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,51125.4,0.35359,0.24457,0.00305,0.96878,0.96659,0.9756,0.89894,0.44286,0.3596,0.00648,0.0007624,0.0007624,0.0007624
26,53182.5,0.33128,0.22977,0.00278,0.97967,0.95366,0.97732,0.90626,0.41482,0.33015,0.00596,0.0007525,0.0007525,0.0007525
27,55319.9,0.33338,0.22716,0.00289,0.947,0.96367,0.97699,0.89027,0.45677,0.31393,0.00692,0.0007426,0.0007426,0.0007426
28,57433.1,0.35176,0.22207,0.00284,0.9709,0.94002,0.97388,0.9066,0.39534,0.32743,0.00632,0.0007327,0.0007327,0.0007327
29,59530.9,0.32988,0.21926,0.00267,0.9806,0.95915,0.98338,0.90487,0.42776,0.2568,0.00669,0.0007228,0.0007228,0.0007228
30,61644.7,0.32753,0.22515,0.00263,0.9883,0.96548,0.9783,0.90157,0.41998,0.2746,0.00615,0.0007129,0.0007129,0.0007129
31,63786.7,0.33542,0.22049,0.00275,0.95186,0.96235,0.97739,0.90889,0.38528,0.31294,0.00604,0.000703,0.000703,0.000703
32,65909.9,0.32283,0.20521,0.00255,0.98836,0.96041,0.97705,0.90841,0.41348,0.28224,0.00631,0.0006931,0.0006931,0.0006931
33,68196.5,0.32018,0.21253,0.00262,0.94415,0.97235,0.97575,0.90528,0.39429,0.35234,0.00594,0.0006832,0.0006832,0.0006832
34,70345.5,0.32157,0.20529,0.00259,0.98353,0.95495,0.97723,0.90997,0.39467,0.31323,0.00597,0.0006733,0.0006733,0.0006733
35,72421.5,0.31415,0.20334,0.00248,0.95192,0.96417,0.97505,0.90492,0.38816,0.40567,0.00592,0.0006634,0.0006634,0.0006634
36,74526.2,0.30787,0.21121,0.00257,0.98191,0.94871,0.97752,0.89746,0.42688,0.31262,0.00593,0.0006535,0.0006535,0.0006535
37,76609.1,0.31223,0.18695,0.00239,0.98204,0.95536,0.97861,0.89875,0.3857,0.3338,0.00546,0.0006436,0.0006436,0.0006436
38,78711.5,0.31269,0.19279,0.00265,0.97839,0.95646,0.97976,0.9163,0.38463,0.32294,0.0059,0.0006337,0.0006337,0.0006337
39,83838.9,0.3009,0.18615,0.0024,0.94935,0.94534,0.97334,0.90014,0.41941,0.36573,0.00661,0.0006238,0.0006238,0.0006238
40,96299.1,0.29889,0.19146,0.0024,0.98012,0.96515,0.97629,0.90878,0.37936,0.31297,0.00584,0.0006139,0.0006139,0.0006139
41,98380.2,0.29967,0.18855,0.00249,0.98497,0.95163,0.97946,0.91983,0.39341,0.30936,0.00632,0.000604,0.000604,0.000604
42,100411,0.30081,0.18713,0.00246,0.97709,0.96672,0.97792,0.91525,0.34526,0.30657,0.00491,0.0005941,0.0005941,0.0005941
43,102499,0.29605,0.17267,0.00244,0.98002,0.95428,0.97819,0.91188,0.38398,0.28568,0.00559,0.0005842,0.0005842,0.0005842
44,104682,0.29172,0.18561,0.00231,0.95215,0.96504,0.97228,0.90423,0.41922,0.33415,0.00654,0.0005743,0.0005743,0.0005743
45,106792,0.28751,0.17938,0.00229,0.96817,0.95812,0.97795,0.9114,0.38078,0.29853,0.00518,0.0005644,0.0005644,0.0005644
46,108954,0.27908,0.16795,0.00209,0.95398,0.9652,0.97784,0.9197,0.35737,0.30341,0.00518,0.0005545,0.0005545,0.0005545
47,110969,0.28664,0.17552,0.00223,0.98047,0.94002,0.978,0.91808,0.37936,0.3106,0.00584,0.0005446,0.0005446,0.0005446
48,112983,0.28538,0.16843,0.00221,0.97233,0.96203,0.97926,0.91251,0.38622,0.3053,0.00586,0.0005347,0.0005347,0.0005347
49,115000,0.27677,0.1622,0.00237,0.94883,0.97361,0.97674,0.91441,0.36053,0.32197,0.00507,0.0005248,0.0005248,0.0005248
50,117066,0.27041,0.16415,0.00221,0.9754,0.95967,0.97651,0.91182,0.35303,0.29362,0.00491,0.0005149,0.0005149,0.0005149
51,122995,0.26971,0.15359,0.00209,0.9646,0.97277,0.97935,0.9177,0.37465,0.27279,0.00532,0.000505,0.000505,0.000505
52,125098,0.26484,0.15964,0.00212,0.97864,0.95977,0.97969,0.90779,0.37983,0.31404,0.00547,0.0004951,0.0004951,0.0004951
53,127265,0.26442,0.15507,0.00211,0.98328,0.96236,0.9777,0.91679,0.36315,0.2968,0.00552,0.0004852,0.0004852,0.0004852
54,129331,0.26635,0.15478,0.00199,0.95826,0.95595,0.97469,0.90962,0.35019,0.36572,0.00494,0.0004753,0.0004753,0.0004753
55,131421,0.26872,0.15269,0.00201,0.96562,0.96378,0.9782,0.90973,0.35674,0.36206,0.00474,0.0004654,0.0004654,0.0004654
56,133548,0.25892,0.15069,0.00199,0.97978,0.96365,0.9786,0.91445,0.35861,0.32306,0.00496,0.0004555,0.0004555,0.0004555
57,135707,0.26691,0.153,0.00202,0.96432,0.96858,0.97349,0.91424,0.37194,0.31112,0.00561,0.0004456,0.0004456,0.0004456
58,137861,0.25762,0.14818,0.00197,0.96158,0.97054,0.97829,0.92487,0.3466,0.27422,0.00482,0.0004357,0.0004357,0.0004357
59,139988,0.25832,0.14218,0.00201,0.97103,0.967,0.9762,0.91865,0.36231,0.27593,0.00514,0.0004258,0.0004258,0.0004258
60,142124,0.25186,0.14248,0.00198,0.97354,0.96262,0.9809,0.92218,0.35385,0.26796,0.00476,0.0004159,0.0004159,0.0004159
61,144298,0.24508,0.14002,0.00184,0.9841,0.96385,0.97892,0.91744,0.36227,0.3255,0.00521,0.000406,0.000406,0.000406
62,146491,0.25011,0.13813,0.00188,0.98037,0.96568,0.98091,0.91914,0.34063,0.28588,0.00455,0.0003961,0.0003961,0.0003961
63,148712,0.25325,0.13534,0.00184,0.97518,0.96518,0.97676,0.91011,0.36936,0.31673,0.00514,0.0003862,0.0003862,0.0003862
64,151001,0.23826,0.13456,0.00175,0.96704,0.9715,0.97829,0.91196,0.36268,0.29442,0.00511,0.0003763,0.0003763,0.0003763
65,153210,0.24359,0.13445,0.00183,0.98406,0.96055,0.97591,0.90552,0.38066,0.2869,0.00504,0.0003664,0.0003664,0.0003664
66,155405,0.24204,0.13197,0.00182,0.98547,0.9696,0.98062,0.9163,0.36432,0.27116,0.00481,0.0003565,0.0003565,0.0003565
67,157652,0.24031,0.13096,0.00194,0.98351,0.96619,0.9789,0.90966,0.36334,0.28765,0.00475,0.0003466,0.0003466,0.0003466
68,159843,0.23536,0.12733,0.00172,0.98282,0.96279,0.97728,0.91222,0.35338,0.30909,0.00472,0.0003367,0.0003367,0.0003367
69,161979,0.23015,0.12456,0.0018,0.9807,0.97073,0.9765,0.91486,0.36454,0.29562,0.00473,0.0003268,0.0003268,0.0003268
70,164088,0.23416,0.13074,0.00167,0.98348,0.95929,0.98073,0.92399,0.33273,0.28987,0.00442,0.0003169,0.0003169,0.0003169
71,166184,0.23027,0.12925,0.00168,0.98042,0.96901,0.97449,0.91262,0.34108,0.30804,0.00435,0.000307,0.000307,0.000307
72,168281,0.22391,0.12725,0.00168,0.98346,0.96731,0.9794,0.91597,0.35221,0.2895,0.00438,0.0002971,0.0002971,0.0002971
73,170508,0.23326,0.12679,0.00171,0.9881,0.96186,0.97845,0.9102,0.36924,0.29512,0.00475,0.0002872,0.0002872,0.0002872
74,172537,0.22038,0.12012,0.00163,0.97734,0.97259,0.97661,0.9114,0.35012,0.29998,0.00448,0.0002773,0.0002773,0.0002773
75,174526,0.21863,0.11551,0.00159,0.97744,0.97169,0.97712,0.91709,0.34077,0.30883,0.00444,0.0002674,0.0002674,0.0002674
76,176492,0.21543,0.11717,0.00151,0.97637,0.95635,0.97804,0.9168,0.34472,0.30327,0.00424,0.0002575,0.0002575,0.0002575
77,178492,0.22052,0.11817,0.00152,0.98282,0.95876,0.9795,0.91548,0.35248,0.29676,0.00437,0.0002476,0.0002476,0.0002476
78,180472,0.21745,0.12188,0.00152,0.98286,0.97266,0.97831,0.91371,0.34945,0.28821,0.00432,0.0002377,0.0002377,0.0002377
79,182477,0.21341,0.11526,0.00149,0.98648,0.96297,0.9776,0.91757,0.33003,0.28586,0.00418,0.0002278,0.0002278,0.0002278
80,184548,0.20693,0.11063,0.00143,0.98637,0.96965,0.9813,0.91763,0.33706,0.27281,0.00418,0.0002179,0.0002179,0.0002179
81,186620,0.20923,0.11308,0.00143,0.97914,0.97246,0.97867,0.92125,0.3323,0.27772,0.00396,0.000208,0.000208,0.000208
82,188664,0.20799,0.11713,0.00154,0.98582,0.97053,0.98119,0.92036,0.34191,0.2678,0.00431,0.0001981,0.0001981,0.0001981
83,190662,0.20719,0.11451,0.00149,0.98031,0.97532,0.98229,0.91981,0.3372,0.26913,0.00432,0.0001882,0.0001882,0.0001882
84,192671,0.20581,0.10731,0.00141,0.97892,0.97584,0.98111,0.92105,0.33959,0.27498,0.0042,0.0001783,0.0001783,0.0001783
85,194682,0.20453,0.10925,0.0014,0.97293,0.97536,0.97982,0.92111,0.33157,0.26977,0.00411,0.0001684,0.0001684,0.0001684
86,196694,0.20161,0.10874,0.0014,0.98375,0.96199,0.97949,0.92011,0.33157,0.28168,0.00399,0.0001585,0.0001585,0.0001585
87,198755,0.19717,0.10299,0.00141,0.98221,0.96617,0.98205,0.91958,0.34228,0.27777,0.00431,0.0001486,0.0001486,0.0001486
88,200857,0.20036,0.10677,0.00138,0.98235,0.96908,0.98133,0.92055,0.3343,0.28202,0.00412,0.0001387,0.0001387,0.0001387
89,202891,0.19574,0.1063,0.00136,0.97796,0.9676,0.97928,0.92184,0.33971,0.27364,0.00427,0.0001288,0.0001288,0.0001288
90,204908,0.19155,0.10133,0.00133,0.97864,0.97135,0.98024,0.92005,0.34218,0.26946,0.00408,0.0001189,0.0001189,0.0001189
91,206900,0.20064,0.08615,0.00174,0.9809,0.95824,0.97577,0.91297,0.3484,0.31611,0.00454,0.000109,0.000109,0.000109
92,208896,0.20014,0.08231,0.00168,0.98207,0.96484,0.97643,0.91061,0.36696,0.30363,0.00462,9.91e-05,9.91e-05,9.91e-05
93,211069,0.19289,0.08478,0.00156,0.97994,0.96615,0.97816,0.9141,0.35132,0.31243,0.00446,8.92e-05,8.92e-05,8.92e-05
94,213111,0.19362,0.08469,0.00158,0.97761,0.97258,0.97931,0.90949,0.3633,0.30427,0.00455,7.93e-05,7.93e-05,7.93e-05
95,215169,0.19097,0.08298,0.00164,0.98095,0.97273,0.97871,0.91026,0.36018,0.31362,0.00448,6.94e-05,6.94e-05,6.94e-05
96,217234,0.19263,0.07929,0.00154,0.98511,0.97015,0.98036,0.91186,0.35877,0.30838,0.00449,5.95e-05,5.95e-05,5.95e-05
97,219307,0.18273,0.07859,0.00147,0.97315,0.97543,0.98093,0.91378,0.35391,0.30528,0.0044,4.96e-05,4.96e-05,4.96e-05
98,2003.02,0.18812,0.08402,0.00153,0.98841,0.97533,0.98351,0.91306,0.36365,0.2778,0.00452,3.97e-05,3.97e-05,3.97e-05
99,4069.75,0.18687,0.0765,0.0015,0.98994,0.96888,0.98333,0.91554,0.34853,0.3087,0.00429,2.98e-05,2.98e-05,2.98e-05
100,6121.71,0.18809,0.07863,0.00148,0.98347,0.97145,0.97788,0.91162,0.35541,0.29895,0.0044,1.99e-05,1.99e-05,1.99e-05
